Fecha, Hora,Sistema, Area, Pronostico (MWh),,,
01/01/2020,10,SIN,NTE,2055.925,,,
01/01/2020,11,SIN,NTE,2116.158,,,
01/01/2020,12,SIN,NTE,2164.897,,,
01/01/2020,13,SIN,NTE,2178.947,,,
01/01/2020,14,SIN,NTE,2173.03,,,
01/01/2020,15,SIN,NTE,2156.657,,,
01/01/2020,16,SIN,NTE,2149.843,,,
01/01/2020,17,SIN,NTE,2164.172,,,
01/01/2020,18,SIN,NTE,2199.983,,,
01/01/2020,19,SIN,NTE,2373.822,,,
01/01/2020,20,SIN,NTE,2517.579,,,
01/01/2020,21,SIN,NTE,2535.702,,,
01/01/2020,22,SIN,NTE,2524.822,,,
01/01/2020,23,SIN,NTE,2464.043,,,
01/01/2020,24,SIN,NTE,2360.554,,,
01/01/2020,1,SIN,OCC,5915.758,,,
01/01/2020,2,SIN,OCC,5752.314,,,
01/01/2020,3,SIN,OCC,5566.535,,,
01/01/2020,4,SIN,OCC,5385.318,,,
01/01/2020,5,SIN,OCC,5288.158,,,
01/01/2020,6,SIN,OCC,5222.642,,,
01/01/2020,7,SIN,OCC,5223.77,,,
01/01/2020,8,SIN,OCC,5078.034,,,
01/01/2020,9,SIN,OCC,5064.104,,,
01/01/2020,10,SIN,OCC,5178.419,,,
01/01/2020,11,SIN,OCC,5308.778,,,
01/01/2020,12,SIN,OCC,5433.85,,,
01/01/2020,13,SIN,OCC,5484.94,,,
01/01/2020,14,SIN,OCC,5507.832,,,
01/01/2020,15,SIN,OCC,5516.473,,,
01/01/2020,16,SIN,OCC,5589.901,,,
01/01/2020,17,SIN,OCC,5627.197,,,
01/01/2020,18,SIN,OCC,5716.637,,,
01/01/2020,19,SIN,OCC,6268.8,,,
01/01/2020,20,SIN,OCC,6773.226,,,
01/01/2020,21,SIN,OCC,6746.392,,,
01/01/2020,22,SIN,OCC,6636.277,,,
01/01/2020,23,SIN,OCC,6357.704,,,
01/01/2020,24,SIN,OCC,6013.844,,,
01/01/2020,1,SIN,ORI,5233.583,,,
01/01/2020,2,SIN,ORI,5046.773,,,
01/01/2020,3,SIN,ORI,4869.902,,,
01/01/2020,4,SIN,ORI,4732.211,,,
01/01/2020,5,SIN,ORI,4627.776,,,
01/01/2020,6,SIN,ORI,4546.205,,,
01/01/2020,7,SIN,ORI,4438.96,,,
01/01/2020,8,SIN,ORI,4161.03,,,
01/01/2020,9,SIN,ORI,4163.051,,,
01/01/2020,10,SIN,ORI,4284.139,,,
01/01/2020,11,SIN,ORI,4417.897,,,
01/01/2020,12,SIN,ORI,4485.81,,,
01/01/2020,13,SIN,ORI,4561.74,,,
01/01/2020,14,SIN,ORI,4598.908,,,
01/01/2020,15,SIN,ORI,4567.272,,,
01/01/2020,16,SIN,ORI,4577.525,,,
01/01/2020,17,SIN,ORI,4624.816,,,
01/01/2020,18,SIN,ORI,4735.481,,,
01/01/2020,19,SIN,ORI,5556.87,,,
01/01/2020,20,SIN,ORI,6010.736,,,
01/01/2020,21,SIN,ORI,5945.121,,,
01/01/2020,22,SIN,ORI,5704.281,,,
01/01/2020,23,SIN,ORI,5366.669,,,
01/01/2020,24,SIN,ORI,5098.003,,,
01/01/2020,1,SIN,PEN,1229.343,,,
01/01/2020,2,SIN,PEN,1200.702,,,
01/01/2020,3,SIN,PEN,1173.144,,,
01/01/2020,4,SIN,PEN,1146.891,,,
01/01/2020,5,SIN,PEN,1126.878,,,
01/01/2020,6,SIN,PEN,1114.748,,,
01/01/2020,7,SIN,PEN,1085.209,,,
01/01/2020,8,SIN,PEN,1086.114,,,
01/01/2020,9,SIN,PEN,1126.216,,,
01/01/2020,10,SIN,PEN,1159.384,,,
01/01/2020,11,SIN,PEN,1198.253,,,
01/01/2020,12,SIN,PEN,1221.935,,,
01/01/2020,13,SIN,PEN,1240.55,,,
01/01/2020,14,SIN,PEN,1254.389,,,
01/01/2020,15,SIN,PEN,1264.432,,,
01/01/2020,16,SIN,PEN,1270.751,,,
01/01/2020,17,SIN,PEN,1280.077,,,
01/01/2020,18,SIN,PEN,1347.383,,,
01/01/2020,19,SIN,PEN,1445.262,,,
01/01/2020,20,SIN,PEN,1445.401,,,
01/01/2020,21,SIN,PEN,1434.853,,,
01/01/2020,22,SIN,PEN,1413.341,,,
01/01/2020,23,SIN,PEN,1361.813,,,
